omg,produktnamn,correctRow,utd13,utd12,utd11,utd10
200427,Europatipset,222212212X2X1,10000000,32187,2130,463
200426,Stryktipset,12X2X2122X112,898860,4096,278,70
200426,Europatipset,11X1211112X22,10000000,7013,429,82
200425,Stryktipset,X2212222112XX,10000000,84587,3354,676
200425,Europatipset,X12X212211X12,130028,3376,222,34
200424,Stryktipset,21X1121X21222,178458,5078,363,80
200424,Europatipset,211X11XX21X2X,66892,859,64,0
200423,Stryktipset,1XXX211XX1112,737298,5245,403,96
200423,Europatipset,1X211X1XXX1XX,2267,126,21,0
200422,Stryktipset,211X11X121221,156889,3406,267,69
200422,Europatipset,21112X21X1211,120337,1968,168,45
200421,Stryktipset,1211212111X12,43484,1210,116,36
200421,Europatipset,X11111X2X111X,704798,2453,225,63
200420,Stryktipset,X2112X11121XX,21647,510,47,16
200420,Europatipset,21X211111X1XX,4654,62,0,0
200419,Stryktipset,2X2XX1211X121,117103,2963,202,49
200419,Europatipset,11211XX222X21,10000000,54085,2436,544
200418,Stryktipset,111X1X1X11112,213676,2551,220,62
200418,Europatipset,111X1122X11X2,10000000,14956,1617,319
200417,Stryktipset,21222X2222221,10000000,19655,1451,331
200417,Europatipset,XX12X112X111X,200985,1257,89,25
200416,Stryktipset,XXX12111X211X,307380,3464,230,57
200416,Europatipset,X2111XXX2XX2X,23853,308,29,11
200415,Stryktipset,X2XX22X1221X2,2298357,45222,2901,655
200415,Europatipset,121112XX1XX12,20244,356,32,11
200414,Stryktipset,21X12222121X2,645755,7392,393,77
200414,Europatipset,21X121X112XX2,97434,2752,244,67
200413,Stryktipset,1121XX21XX122,285575,2657,202,53
200413,Europatipset,X212121X1XX1X,1496524,7340,428,88
200412,Stryktipset,1111112XX2121,8901,226,24,0
200412,Europatipset,22XX1221X221X,10000000,34476,1628,312
200411,Stryktipset,12111211X2211,423806,2998,215,54
200411,Europatipset,2XXXX1XXX1221,686090,26998,1555,312
200410,Stryktipset,1212XXX1211XX,10000000,29288,1809,378
200410,Europatipset,111XXXXX211X1,49842,892,84,25
200409,Stryktipset,11X21XX111121,1596,56,0,0
200409,Europatipset,22121111111X2,69599,773,45,13
200408,Stryktipset,X1111X221X112,208544,4505,379,102
200408,Europatipset,212X12XXXX112,318778,3447,238,60
200407,Stryktipset,XX112111X2X11,18564,482,46,15
200407,Europatipset,1XX22XXX121X1,10000000,63077,3488,588
200406,Stryktipset,X22XX11122122,9609,254,26,10
200406,Europatipset,112X1X12121X1,88073,1971,147,39
200405,Stryktipset,2X1X22X11XX12,558863,8753,680,161
200405,Europatipset,121XX12111X11,25864,544,48,15
200404,Stryktipset,11211X2211222,173858,3310,264,68
200404,Europatipset,XX1XX21X2XX11,135307,1962,186,55
200403,Stryktipset,12111XXXX2122,276112,5873,433,108
200403,Europatipset,211212X21X2X1,10000000,9095,592,133
200402,Stryktipset,X11111212X2X1,74796,1598,120,33
200402,Europatipset,222121112XX1X,17927,590,54,17
200401,Stryktipset,11X11X112X1X2,345934,5667,426,109
200401,Europatipset,21112221111XX,96062,1388,110,30
200352,Stryktipset,11212X21X1222,66408,1183,91,26
200351,Stryktipset,12XX2212X22X2,1370810,21850,1499,331
200351,Europatipset,12XX1XXXX1XXX,801597,4394,349,96
200350,Stryktipset,121X2211X122X,675447,14664,1241,299
200350,Europatipset,1122X1XX112X1,6679,89,12,0
200349,Stryktipset,1XX12X11XX1X2,123344,2710,230,63
200349,Europatipset,2211X111XX1XX,4494,68,10,0
200348,Stryktipset,X2121121X1211,100032,2041,167,45
200348,Europatipset,11112XX2XXXXX,2305,94,14,0
200347,Stryktipset,X221XX121X1XX,91539,1951,165,46
200347,Europatipset,2211XXXX12112,1231374,22096,1383,263
200346,Stryktipset,122112211XX11,505065,14324,1125,309
200346,Europatipset,1X1111X2X1212,10000000,6286,413,98
200345,Stryktipset,X11X12211X1XX,109685,2617,217,60
