omg,produktnamn,correctRow,utd13,utd12,utd11,utd10
201341,Europatipset,11X21111211X1,1850,36,0,0
201341,Europatipset,212X21212X11X,3377098,12933,509,116
201340,Europatipset,21XX12112XXXX,234873,3177,129,36
201340,Europatipset,2X1XXX1111122,966384,11457,301,64
201339,Europatipset,211X12212111X,6203,122,0,0
201339,Europatipset,21X1X21221XXX,1207029,22420,882,217
201338,Europatipset,12211211X11X2,90467,683,25,0
201338,Europatipset,12221X1X111X2,29306,642,37,0
201337,Europatipset,21221212212X2,27784,847,43,15
201337,Europatipset,XX12122X1111X,331227,8736,379,91
201336,Europatipset,211X211X1122X,26212,491,21,0
201336,Europatipset,1X11X21X1111X,332884,3846,173,51
201335,Europatipset,X1211XXX22X11,35438,483,24,0
201335,Europatipset,11221XXX22222,155438,2389,101,29
201334,Europatipset,X222XX2122122,70296,1855,93,30
201334,Europatipset,1122111X21112,65115,947,32,0
201333,Europatipset,1X121XXX112X2,942958,23573,723,137
201333,Europatipset,121XX21X1221X,142908,1993,61,17
201332,Europatipset,XXX221X12X212,764402,8618,346,91
201332,Europatipset,11X2211X1XX22,644059,7715,257,59
201331,Europatipset,1X1X21121211X,22684,703,43,16
201331,Europatipset,12X112X121X22,117313,2409,83,23
201330,Europatipset,112121X1XX112,10000000,17415,430,88
201330,Europatipset,1211X221X1122,558786,4880,160,39
201329,Europatipset,221X121X12X2X,10000000,56949,1575,251
201329,Europatipset,22222111X11XX,2295124,11063,447,106
201328,Europatipset,XXXX211222122,323729,8864,271,69
201328,Europatipset,1111122X12XX2,36736,629,30,0
201327,Europatipset,1222XX12XXX2X,10000000,99448,3517,735
201327,Europatipset,1X2XX1X2112X2,553497,9946,456,146
201326,Europatipset,1X11221211X12,134236,2701,113,31
201326,Europatipset,22122112112X1,86016,2618,112,31
201326,Europatipset,221121XXX1X11,304481,7839,261,55
201325,Europatipset,XX2XX211222XX,295429,16439,676,152
201324,Europatipset,12X11X2221X11,419686,663,24,0
201324,Europatipset,12X1X2211X121,612399,8897,300,71
201323,Europatipset,112XX212X2XX2,10000000,59488,1700,364
201323,Europatipset,112XX2X212121,33345,389,22,0
201322,Europatipset,X11221X122112,7174,178,0,0
201322,Europatipset,X111111212X22,487418,2955,96,25
201321,Europatipset,X1XX12111XX11,18655,547,31,0
201321,Europatipset,2X1211X22XX11,464132,6312,242,60
201320,Europatipset,22111121XX1X1,1746796,36231,1176,240
201320,Europatipset,121211111212X,172086,1965,66,18
